word,Orthography,bucket_q,uni_prob,bi_prob_smoothed,group
x a b1 e1,jabé,uni2-bi3,-15.78158228,-14.73391277,1
k i f1 e1,quifé,uni2-bi3,-15.94969421,-15.96224315,2
p o f1 e1,pofé,uni2-bi3,-15.78280806,-15.64188321,3
b a p1 u1,bapú,uni2-bi3,-15.761018603125391,-16.272661276021363,4
d i b1 u1,dibú,uni2-bi3,-15.72092506,-15.92608731,5
f i k1 i1,fiquí,uni2-bi3,-16.19555538,-15.62572251,1
k a g1 u1,cagú,uni2-bi3,-15.77733011,-15.33308691,2
f1 u1 l a,fula,uni2-bi4,-16.39506591,-14.17638947,3
l1 o1 x e,loge,uni2-bi4,-16.22703335,-13.57437287,4
d1 e1 t͡ʃ o,decho,uni2-bi4,-16.8178351,-13.55707275,5
t͡ʃ1 a1 l a,chala,uni2-bi4,-15.73908032,-13.57671019,1
x1 u1 d o,judo,uni2-bi4,-16.22006175,-12.93150882,2
k u d1 o1,cudó,uni2-bi4,-16.13135399,-11.67387265,3
f i k1 o1,ficó,uni2-bi4,-16.86760685,-12.96895735,4
r e x1 e1,rejé,uni2-bi4,-16.22868227,-11.86165292,5
r1 e1 b a,reba,uni2-bi4,-15.75631797,-12.95098639,1
r1 o1 ɾ o,roro,uni2-bi4,-15.81036992,-11.88139247,2
m1 u1 g a,muga,uni2-bi4,-16.57894956,-14.17937326,3
f1 u1 d o,fudo,uni2-bi4,-16.39466126,-11.90092773,4
m1 a1 t͡ʃ a,macha,uni2-bi4,-16.55741592,-13.55196817,5
b1 o1 x e,boge,uni2-bi4,-16.28599306,-12.90596028,1
f1 i1 g a,figa,uni2-bi4,-16.39063177,-12.16332469,2
f1 a1 r e,farre,uni2-bi4,-15.97363056,-14.19960637,3
f1 u1 ɾ o,furo,uni2-bi4,-16.22322939,-12.31533596,4
i1 e1 t͡ʃ o,yecho,uni2-bi4,-15.73483632,-14.16032756,5
t͡ʃ1 o1 n e,chone,uni2-bi4,-16.18567151,-14.20900846,1
p1 o1 x a,poja,uni2-bi4,-16.57292473,-12.39943849,2
x1 a1 x e,jage,uni2-bi4,-16.38176442,-13.57792632,3
t1 a1 ɲ a,taña,uni2-bi4,-16.4533041,-12.30524957,4
f i k1 a1,ficá,uni2-bi4,-15.93847644,-13.56548978,5
k u d1 e1,cudé,uni2-bi4,-15.6318748,-12.1582242,1
f1 u1 b a,fuba,uni2-bi4,-16.66865662,-12.92453666,2
g1 u1 d o,gudo,uni2-bi4,-15.87678364,-12.01665539,3
b1 e1 x e,bege,uni2-bi4,-15.78651387,-12.32152271,4
t͡ʃ1 a1 b e,chabe,uni2-bi4,-16.01760263,-12.98556493,5
f i l1 o1,filó,uni2-bi4,-16.78992877,-14.17894957,1
t͡ʃ1 a1 d o,chado,uni2-bi4,-15.73867567,-10.71105392,2
k1 u1 x e,cuge,uni2-bi4,-16.8701843,-12.22991664,3
r e k1 o1,recó,uni2-bi4,-15.721978061275996,-12.25758270768626,4
m1 e1 x e,meje,uni2-bi4,-15.9368086,-12.11053165,5
r1 o1 n o,rono,uni2-bi4,-15.68840908,-12.15179607,1
f1 u1 ɾ a,fura,uni2-bi4,-16.02955593,-12.176094579999999,2
p1 o1 r e,porre,uni2-bi4,-15.99512295,-12.37445773,3
u1 a1 n u,guanu,uni3-bi1,-14.9691365,-22.53622931,4
u1 o1 ɾ i,huori,uni3-bi1,-14.92593513,-21.20552809,5
u1 o1 u o,huohuo,uni3-bi1,-15.32662118,-26.37811141,1
n1 e1 d u,nedu,uni3-bi1,-14.85885298,-22.43503752,2
u o i1 u1,huoyú,uni3-bi1,-14.65456971,-25.565343,3
g e u1 i1,guehuí,uni3-bi1,-15.13797688,-22.4989717,4
f o u1 a1,fohuá,uni3-bi1,-15.33590778,-21.2139043,5
n1 o1 i u,noyu,uni3-bi1,-15.01905881,-24.57239831,1
s1 u1 k i,suqui,uni3-bi1,-14.98548639,-19.90488418,2
n1 o1 l u,nolu,uni3-bi1,-15.55241026,-22.52380612,3
n1 o1 s u,nosu,uni3-bi1,-14.51793712,-21.30120896,4
p1 i1 u e,pihue,uni3-bi1,-14.81577631,-19.81614044,5
i1 a1 r u,llarru,uni3-bi1,-15.28731931,-22.57866112,1
f a u1 a1,fahuá,uni3-bi1,-15.14223432,-19.87988246,2
d1 e1 u o,dehuo,uni3-bi1,-14.67261643,-21.23271366,3
n1 o1 u i,nohui,uni3-bi1,-15.01905881,-25.4921331,4
t1 u1 s u,tusu,uni3-bi1,-15.38564613,-19.83274622,5
u1 i1 u o,huihuo,uni3-bi1,-14.65456971,-23.6109885,1
u1 o1 u e,huohue,uni3-bi1,-15.13787932,-26.04655928,2
n i u1 o1,nihuó,uni3-bi1,-14.80397429,-23.82696145,3
u1 a1 u i,guahui,uni3-bi1,-14.92325585,-24.49514478,4
u1 o1 p i,huopi,uni3-bi1,-15.55046586,-23.8195994,5
u1 e1 u i,huehui,uni3-bi1,-15.35290708,-23.89314144,1
m1 a1 u o,mahuo,uni3-bi1,-14.6058707,-19.81548886,2
u1 a1 i u,guayu,uni3-bi1,-14.92325585,-24.12972072,3
d u i1 u1,duyú,uni3-bi1,-15.51960816,-21.16388768,4
u1 a1 ɾ u,guaru,uni3-bi1,-15.09109734,-21.21754879,5
n1 e1 u i,nehui,uni3-bi1,-14.51957962,-25.18046453,1
ɲ1 i1 s e,ñise,uni3-bi1,-15.48697857,-19.81648291,2
u1 i1 u i,huihui,uni3-bi1,-15.1803348,-25.58653183,3
u o u1 o1,huohuó,uni3-bi1,-15.32662118,-27.44042866,4
u e u1 o1,huehuó,uni3-bi1,-15.13787932,-25.19604828,5
u i u1 i1,huihuí,uni3-bi1,-15.1803348,-24.02046546,1
n1 e1 n u,nenu,uni3-bi1,-14.56546026,-22.5340357,2
i1 u1 i u,yuyu,uni3-bi1,-15.1803348,-24.65333284,3
u o u1 i1,huohuí,uni3-bi1,-14.65456971,-26.72908832,4
u1 o1 l e,huole,uni3-bi2,-14.57693815,-18.72954056,5
n a f1 o1,nafó,uni3-bi2,-15.34212223,-17.10928001,1
d1 i1 p i,dipi,uni3-bi2,-14.72388882,-18.74757961,2
b a n1 u1,vanú,uni3-bi2,-14.57774268,-17.88890012,3
n u m1 a1,numá,uni3-bi2,-15.17751643,-17.90535497,4
u a g1 e1,guagué,uni3-bi2,-15.3731774,-18.70619913,5
n u ɾ1 o1,nuró,uni3-bi2,-14.60292871,-17.51668747,1
n u s1 o1,nusó,uni3-bi2,-15.12669352,-17.06338919,2
u e d1 o1,huedó,uni3-bi2,-14.98335376,-17.50102406,3
l o f1 i1,lofí,uni3-bi2,-15.35121502,-16.66796275,4
l a l1 u1,lalú,uni3-bi2,-15.13660492,-17.48601512,5
g1 a1 n i,gani,uni3-bi2,-14.61455273,-17.08230473,1
b1 i1 p i,bipi,uni3-bi2,-14.93649958,-17.94991203,2
s1 u1 n i,suni,uni3-bi2,-14.59787376,-18.31321021,3
r1 i1 s i,risi,uni3-bi2,-14.99512037,-16.71015477,4
p o n1 u1,ponú,uni3-bi2,-14.75684618,-17.09632594,5
b1 a1 m u,vamu,uni3-bi2,-15.54758325,-18.31431544,1
b1 a1 ɾ u,varu,uni3-bi2,-15.14918254,-18.38322908,2
g e i1 o1,guelló,uni3-bi2,-14.57250401,-16.66603568,3
n a p1 u1,napú,uni3-bi2,-14.99995708,-18.72347911,4
b o n1 u1,bonú,uni3-bi2,-14.77141613,-17.50727776,5
t a g1 u1,tagú,uni3-bi2,-15.53451824,-16.68004563,1
n i x1 a1,nijá,uni3-bi2,-14.95783084,-17.09802677,2
n1 o1 g o,nogo,uni3-bi2,-15.16544275,-16.69100605,3
l1 i1 r a,lirra,uni3-bi2,-14.96731692,-18.34264218,4
n1 u1 r o,nuro,uni3-bi2,-15.56606176,-17.51433348,5
t1 i1 g i,tigui,uni3-bi2,-15.32139251,-17.90549138,1
u e p1 o1,huepó,uni3-bi2,-15.48782778,-18.7269367,2
m1 o1 d i,modi,uni3-bi2,-15.30574693,-17.50239939,3
t i s1 u1,tisú,uni3-bi2,-14.74267452,-16.67680993,4
