vowel_stress_word,uni_prob,bi_prob_smoothed,response,exp,condition
ˈkude,-13.832586626391938,-11.407577187676353,0.40210552927035115,bi_contrast,high
ˈpoxa,-14.741619952841765,-12.617546867030688,0.3934576442858662,bi_contrast,high
ˈtʃufe,-17.923505513297545,-16.783372316288705,0.22272517579755444,bi_contrast,high
ˈrade,-13.04141164749202,-10.411067056808754,0.0677444595350615,bi_contrast,high
ˈroɾo,-13.608156787047806,-11.191694437538349,0.3444810440379654,bi_contrast,high
ruˈpo,-16.3771227413925,-14.808712475326804,0.41570986408802874,bi_contrast,high
ˈfuɾa,-14.690699379956143,-12.637479477849975,0.1767795408952401,bi_contrast,high
ˈtʃixo,-16.956738980460344,-15.609929713629862,0.29016878136341295,bi_contrast,high
ˈpore,-14.449984790469014,-12.35053053666658,0.4065552697498944,bi_contrast,high
ˈjetʃo,-15.523011390944497,-13.764110108202344,0.30221236368041926,bi_contrast,high
kuˈdo,-14.755131829851514,-12.79658482444876,0.6431068175391265,bi_contrast,high
ˈɲiru,-18.324826075756473,-34.320705217553765,-0.46858112521299966,bi_contrast,low
ɲoˈwi,-17.33356925005294,-31.84301680232879,-0.6709321870404665,bi_contrast,low
ɲoˈdu,-16.428767465574662,-30.307328102770796,-0.6492753573449516,bi_contrast,low
ˈɲiɲu,-19.588707132835815,-33.99541304277774,-0.16155265342166025,bi_contrast,low
ˈɲoɲu,-19.76456623513743,-33.603587070405794,-0.6952703941635892,bi_contrast,low
ˈɲati,-15.07524312970356,-27.44467694581504,-0.42732361703220373,bi_contrast,low
ˈɲoɲi,-18.811059562703345,-32.09982253537847,-0.24956408347365824,bi_contrast,low
ɲiˈru,-18.55177125308791,-31.5323501685917,-0.638569764795801,bi_contrast,low
ˈɲimu,-17.171758693293995,-29.645829429876215,-0.6108648690796762,bi_contrast,low
ɲoˈsa,-13.723695307597904,-25.139079703373437,-0.3223904764768879,bi_contrast,low
ɲiˈwi,-18.117442399860096,-30.655822486403835,-0.8886346023128759,bi_contrast,low
ˈɲowi,-18.293301502161707,-30.80993507665986,-0.7009576309109017,bi_contrast,low
ɲiˈɲi,-18.635200460401737,-31.001248336281595,-0.17707740023167629,bi_contrast,low
ˈɲoɲe,-17.837428284213942,-29.52281850538156,-0.29757458396492104,bi_contrast,low
woˈju,-16.429339687083868,-27.301582023679845,-0.5746530885142728,bi_contrast,low
woˈwa,-16.062546406955775,-26.80468784828203,-0.7058439575831071,bi_contrast,low
ɲuˈju,-18.684477569866747,-30.165716684798628,-0.4061334899110401,bi_contrast,low
weˈwi,-16.62605306082906,-27.386840670221886,-0.579902720919673,bi_contrast,low
ˈniru,-15.406115714756456,-25.754389487542127,-0.2650149079745331,bi_contrast,low
woˈwi,-16.815811189511304,-27.43223392710219,-0.7946424552745567,bi_contrast,low
ɲuˈsu,-17.3947917621602,-28.19196576970995,-0.6725602844308453,bi_contrast,low
weˈwo,-16.801912163130673,-27.39561214706802,-0.4023285287673075,bi_contrast,low
woˈwo,-16.991670291812916,-27.441005403948324,-0.7549613306556415,bi_contrast,low
ˈɲuɲo,-19.0317791603601,-30.13789333083638,-0.10091307957679528,bi_contrast,low
ˈɲulu,-18.35622583243843,-29.010141372187334,-0.559406595524718,bi_contrast,low
weˈju,-16.239581558401625,-26.052215962473607,0.4463951343686077,bi_contrast,low
ˈwiru,-17.80706801521484,-28.02463681508829,-0.23869273218359527,bi_contrast,low
neˈwa,-13.471835977815148,-22.315191463220856,-0.3885595867897867,bi_contrast,low
ɲiˈɲo,-18.811059562703345,-29.287253215386627,0.610996174045191,bi_contrast,low
