word,bucket_r,uni_prob,bi_prob_smoothed
n a g u,uni3-bi3,-12.75232708760034,-18.11410494271082
f a s u,uni3-bi3,-12.758303575230508,-16.424698692775632
f a s u,uni3-bi3,-12.758303575230508,-16.424698692775632
s a f u,uni3-bi3,-12.758303575230508,-17.8112845283718
s a f u,uni3-bi3,-12.758303575230508,-17.8112845283718
n e tʃ e,uni3-bi3,-12.759171097258076,-15.401885796513293
n e tʃ e,uni3-bi3,-12.759171097258076,-15.401885796513293
b a f i,uni3-bi3,-12.765331670590196,-14.963302488073984
b a f i,uni3-bi3,-12.765331670590196,-14.963302488073984
f o d i,uni3-bi3,-12.777728624240478,-16.105457715940865
f o d i,uni3-bi3,-12.777728624240478,-16.105457715940865
n u n u,uni3-bi3,-12.778718219586697,-20.510917990974544
n u n u,uni3-bi3,-12.778718219586697,-20.510917990974544
k i l u,uni3-bi3,-12.780233828626145,-17.533977808045236
k i l u,uni3-bi3,-12.780233828626145,-17.533977808045236
l i k u,uni3-bi3,-12.780233828626146,-15.945562102500515
l i k u,uni3-bi3,-12.780233828626146,-15.945562102500515
l u k i,uni3-bi3,-12.780233828626146,-18.346719038813987
l u k i,uni3-bi3,-12.780233828626146,-18.346719038813987
f e m i,uni3-bi3,-12.780633408556833,-15.066475571660012
f e m i,uni3-bi3,-12.780633408556833,-15.066475571660012
m o l u,uni3-bi3,-12.781043192606774,-16.145321325214066
m o l u,uni3-bi3,-12.781043192606774,-16.145321325214066
l o m u,uni3-bi3,-12.781043192606774,-16.850871488507675
l o m u,uni3-bi3,-12.781043192606774,-16.850871488507675
x a s u,uni3-bi3,-12.781521865332516,-16.588627669820774
x a s u,uni3-bi3,-12.781521865332516,-16.588627669820774
s a x u,uni3-bi3,-12.781521865332516,-17.03562950367637
s a x u,uni3-bi3,-12.781521865332516,-17.03562950367637
r i k i,uni3-bi3,-12.781668408001403,-15.574893744427854
r i k i,uni3-bi3,-12.781668408001403,-15.574893744427854
k i r i,uni3-bi3,-12.781668408001403,-18.777820023893852
k i r i,uni3-bi3,-12.781668408001403,-18.777820023893852
m i r o,uni3-bi3,-12.782477771982034,-14.898975537660291
m i r o,uni3-bi3,-12.782477771982034,-14.898975537660291
m o r i,uni3-bi3,-12.782477771982034,-15.886749576885103
m o r i,uni3-bi3,-12.782477771982034,-15.886749576885103
u i t u,uni3-bi3,-12.783072231535584,-18.919990678877618
u i t u,uni3-bi3,-12.783072231535584,-18.919990678877618
i u t u,uni3-bi3,-12.783072231535584,-19.56445824692599
i u t u,uni3-bi3,-12.783072231535584,-19.56445824692599
t u i u,uni3-bi3,-12.783072231535584,-19.65262584303576
t u i u,uni3-bi3,-12.783072231535584,-19.65262584303576
