word,cnt,freq_per_mil,transcription
abordo,2186,4.838617840358494,a b o ɾ d o
abordó,311,0.6883852462724116,a b o ɾ d o
aborigen,239,0.529016314659506,a b o ɾ i x e n
aborígenes,361,0.7990581154480405,a b o ɾ i x e n e s
aborrece,140,0.3098840336917608,a b o r e s e
aborrecedores,7,0.015494201684588043,a b o r e s e d o ɾ e s
aborrecen,53,0.1173132413261666,a b o r e s e n
aborrecer,53,0.1173132413261666,a b o r e s e ɾ
aborrecerme,16,0.03541531813620124,a b o r e s e ɾ m e
aborreces,39,0.08632483795699052,a b o r e s e s
aborrecible,129,0.2855360024731225,a b o r e s i b l e
aborrecido,54,0.11952669870967919,a b o r e s i d o
aborrecidos,11,0.024348031218638353,a b o r e s i d o s
aborrezco,308,0.6817448741218739,a b o r e s k o
aborta,314,0.6950256184229494,a b o ɾ t a
abortada,153,0.3386589796774243,a b o ɾ t a d a
abortado,313,0.6928121610394368,a b o ɾ t a d o
abortados,39,0.08632483795699052,a b o ɾ t a d o s
abórtalo,16,0.03541531813620124,a b o ɾ t a l o
abortamos,91,0.20142462189964455,a b o ɾ t a m o s
abortando,93,0.20585153666666972,a b o ɾ t a n d o
abortar,1750,3.8735504211470104,a b o ɾ t a ɾ
abortara,67,0.14830164469534268,a b o ɾ t a ɾ a
abortarán,12,0.02656148860215093,a b o ɾ t a ɾ a n
abortaremos,17,0.03762877551971382,a b o ɾ t a ɾ e m o s
abortaría,16,0.03541531813620124,a b o ɾ t a ɾ i a
abortarla,28,0.06197680673835217,a b o ɾ t a ɾ l a
abortarlo,84,0.1859304202150565,a b o ɾ t a ɾ l o
aborte,262,0.5799258344802952,a b o ɾ t e
aborté,117,0.2589745138709716,a b o ɾ t e
abortemos,24,0.05312297720430186,a b o ɾ t e m o s
aborten,671,1.4852299043369397,a b o ɾ t e n
abórtenlo,10,0.022134573835125775,a b o ɾ t e n l o
abortistas,23,0.050909519820789284,a b o ɾ t i s t a s
abortiva,28,0.06197680673835217,a b o ɾ t i b a
abortivas,9,0.019921116451613197,a b o ɾ t i b a s
aborto,3164,7.003379161433795,a b o ɾ t o
abortó,178,0.39399541426523876,a b o ɾ t o
abortos,635,1.4055454385304869,a b o ɾ t o s
abotinados,4,0.00885382953405031,a b o t i n a d o s
abotonada,51,0.11288632655914145,a b o t o n a d a
abotonado,43,0.09517866749104083,a b o t o n a d o
abotonados,16,0.03541531813620124,a b o t o n a d o s
abotonando,7,0.015494201684588043,a b o t o n a n d o
abotonarla,2,0.004426914767025155,a b o t o n a ɾ l a
abotonarlo,22,0.048696062437276706,a b o t o n a ɾ l o
abotonarme,14,0.030988403369176087,a b o t o n a ɾ m e
abotónate,144,0.31873786322581116,a b o t o n a t e
abotónese,30,0.06640372150537732,a b o t o n e s e
abotono,18,0.039842232903226395,a b o t o n o
abovedado,24,0.05312297720430186,a b o b e d a d o
abovedados,18,0.039842232903226395,a b o b e d a d o s
abra,14164,31.351410380072146,a b ɾ a
abracadabra,667,1.4763760748028891,a b ɾ a k a d a b ɾ a
abrace,431,0.9540001322939208,a b ɾ a s e
abracé,375,0.8300465188172165,a b ɾ a s e
abrácelo,18,0.039842232903226395,a b ɾ a s e l o
abracémonos,174,0.3851415847311885,a b ɾ a s e m o n o s
abracemos,54,0.11952669870967919,a b ɾ a s e m o s
abracen,206,0.45597222100359097,a b ɾ a s e n
abraces,321,0.7105198201075374,a b ɾ a s e s
abracito,48,0.10624595440860372,a b ɾ a s i t o
abraham,2874,6.361476520215148,a b ɾ a a m
ábrala,609,1.3479955465591598,a b ɾ a l a
ábralo,614,1.3590628334767227,a b ɾ a l o
ábrame,188,0.41612998810036456,a b ɾ a m e
abrámonos,70,0.1549420168458804,a b ɾ a m o n o s
abramos,981,2.171401693225839,a b ɾ a m o s
abrámoslo,258,0.571072004946245,a b ɾ a m o s l o
abran,15135,33.50067749946287,a b ɾ a n
ábranla,248,0.5489374311111191,a b ɾ a n l a
ábranlas,52,0.11509978394265404,a b ɾ a n l a s
ábranlo,246,0.5445105163440941,a b ɾ a n l o
ábranlos,81,0.17929004806451876,a b ɾ a n l o s
ábranme,83,0.18371696283154393,a b ɾ a m m e
ábranse,150,0.3320186075268866,a b ɾ a n s e
abras,3627,8.02820993000012,a b ɾ a s
abrasador,307,0.6795314167383614,a b ɾ a s a d o ɾ
abrasadora,56,0.12395361347670435,a b ɾ a s a d o ɾ a
abrasados,52,0.11509978394265404,a b ɾ a s a d o s
abrasar,52,0.11509978394265404,a b ɾ a s a ɾ
abrasará,10,0.022134573835125775,a b ɾ a s a ɾ a
abrasión,93,0.20585153666666972,a b ɾ a s j o n
abrasiones,301,0.6662506724372859,a b ɾ a s j o n e s
abrasiva,29,0.06419026412186475,a b ɾ a s i b a
abrasivas,4,0.00885382953405031,a b ɾ a s i b a s
abrasivo,60,0.13280744301075464,a b ɾ a s i b o
abrasivos,10,0.022134573835125775,a b ɾ a s i b o s
abraza,1139,2.521127959820826,a b ɾ a s a
abrazaba,348,0.770283169462377,a b ɾ a s a b a
abrazaban,66,0.14608818731183013,a b ɾ a s a b a n
abrazabas,53,0.1173132413261666,a b ɾ a s a b a s
abrazable,41,0.09075175272401569,a b ɾ a s a b l e
abrazada,151,0.3342320649103992,a b ɾ a s a d a
abrazadas,27,0.059763349354839596,a b ɾ a s a d a s
abrazadera,272,0.6020604083154211,a b ɾ a s a d e ɾ a
abrazaderas,200,0.44269147670251546,a b ɾ a s a d e ɾ a s
abrazado,479,1.0602460867025245,a b ɾ a s a d o
abrazados,327,0.7238005644086128,a b ɾ a s a d o s
abrázala,286,0.6330488116845971,a b ɾ a s a l a
abrázalo,197,0.43605110455197776,a b ɾ a s a l o
abrázame,4705,10.414316989426677,a b ɾ a s a m e
abrazamos,372,0.8234061466666789,a b ɾ a s a m o s
abrazan,365,0.8079119449820908,a b ɾ a s a n
abrazando,630,1.3944781516129239,a b ɾ a s a n d o
abrazándola,48,0.10624595440860372,a b ɾ a s a n d o l a
abrazándolo,28,0.06197680673835217,a b ɾ a s a n d o l o
abrazándome,180,0.39842232903226393,a b ɾ a s a n d o m e
abrazándonos,62,0.1372343577777798,a b ɾ a s a n d o n o s
abrazándose,222,0.49138753913979216,a b ɾ a s a n d o s e
abrazar,1786,3.9532348869534637,a b ɾ a s a ɾ
abrazara,141,0.31209749107527346,a b ɾ a s a ɾ a
abrazaran,35,0.0774710084229402,a b ɾ a s a ɾ a n
abrazarás,55,0.12174015609319178,a b ɾ a s a ɾ a s
abrazaré,166,0.36743392566308786,a b ɾ a s a ɾ e
abrazaremos,69,0.15272855946236785,a b ɾ a s a ɾ e m o s
abrazaría,127,0.2811090877060973,a b ɾ a s a ɾ i a
abrazarías,33,0.07304409365591506,a b ɾ a s a ɾ i a s
abrazarla,896,1.9832578156272695,a b ɾ a s a ɾ l a
abrazarlas,64,0.14166127254480496,a b ɾ a s a ɾ l a s
abrazarlo,729,1.613610432580669,a b ɾ a s a ɾ l o
abrazarlos,294,0.6507564707526977,a b ɾ a s a ɾ l o s
abrazarme,1218,2.6959910931183195,a b ɾ a s a ɾ m e
abrazarnos,431,0.9540001322939208,a b ɾ a s a ɾ n o s
abrazaron,139,0.3076705763082483,a b ɾ a s a ɾ o n
abrazarse,312,0.6905987036559241,a b ɾ a s a ɾ s e
abrazarte,2536,5.613327924587896,a b ɾ a s a ɾ t e
abrazas,428,0.9473597601433832,a b ɾ a s a s
abrazaste,187,0.41391653071685197,a b ɾ a s a s t e
abrázate,48,0.10624595440860372,a b ɾ a s a t e
abrazémosnos,1,0.0022134573835125774,a b ɾ a s e m o s n o s
abrazo,7459,16.510178623620316,a b ɾ a s o
abrazó,733,1.6224642621147192,a b ɾ a s o
abrazos,1550,3.4308589444444952,a b ɾ a s o s
abre,44869,99.31561934082583,a b ɾ e
abrecartas,156,0.34529935182796206,a b ɾ e k a ɾ t a s
abrefácil,1,0.0022134573835125774,a b ɾ e f a s i l
ábrela,3275,7.249072931003691,a b ɾ e l a
ábrelas,168,0.371860840430113,a b ɾ e l a s
abrelatas,388,0.85882146480288,a b ɾ e l a t a s
ábrele,402,0.8898098681720562,a b ɾ e l e
ábrelo,4228,9.358497817491179,a b ɾ e l o
ábrelos,633,1.4011185237634616,a b ɾ e l o s
ábreme,1144,2.5321952467383886,a b ɾ e m e
ábremelo,8,0.01770765906810062,a b ɾ e m e l o
abren,3227,7.142826976595087,a b ɾ e n
ábrenos,89,0.19699770713261938,a b ɾ e n o s
abres,3314,7.335397768960681,a b ɾ e s
ábrete,1051,2.3263437100717193,a b ɾ e t e
abrevadero,200,0.44269147670251546,a b ɾ e b a d e ɾ o
abreviación,81,0.17929004806451876,a b ɾ e b j a s j o n
abreviando,50,0.11067286917562887,a b ɾ e b j a n d o
abreviar,265,0.586566206630833,a b ɾ e b j a ɾ
abreviatura,236,0.5223759425089682,a b ɾ e b j a t u ɾ a
abreviaturas,60,0.13280744301075464,a b ɾ e b j a t u ɾ a s
abrí,3803,8.417778429498332,a b ɾ i
abría,1081,2.3927474315770962,a b ɾ i a
abríamos,66,0.14608818731183013,a b ɾ i a m o s
abrían,287,0.6352622690681097,a b ɾ i a n
abrías,146,0.3231647779928363,a b ɾ i a s
abrid,2488,5.507081970179293,a b ɾ i d
abridor,304,0.6728910445878236,a b ɾ i d o ɾ
abridores,17,0.03762877551971382,a b ɾ i d o ɾ e s
abriendo,3288,7.277847876989354,a b ɾ j e n d o
abriéndola,48,0.10624595440860372,a b ɾ j e n d o l a
abriéndole,108,0.23905339741935838,a b ɾ j e n d o l e
abriéndolo,70,0.1549420168458804,a b ɾ j e n d o l o
abriéndome,147,0.32537823537634886,a b ɾ j e n d o m e
abriéndonos,66,0.14608818731183013,a b ɾ j e n d o n o s
abriéndose,860,1.9035733498208167,a b ɾ j e n d o s e
abriéndote,64,0.14166127254480496,a b ɾ j e n d o t e
abriera,990,2.1913228096774517,a b ɾ j e ɾ a
abrieran,266,0.5887796640143456,a b ɾ j e ɾ a n
abrieras,349,0.7724966268458895,a b ɾ j e ɾ a s
abrieron,2386,5.28130931706101,a b ɾ j e ɾ o n
abriese,108,0.23905339741935838,a b ɾ j e s e
abriésemos,13,0.02877494598566351,a b ɾ j e s e m o s
abriga,140,0.3098840336917608,a b ɾ i g a
abrigada,284,0.628621896917572,a b ɾ i g a d a
abrigado,348,0.770283169462377,a b ɾ i g a d o
abrigados,81,0.17929004806451876,a b ɾ i g a d o s
abrigamos,24,0.05312297720430186,a b ɾ i g a m o s
abrigan,28,0.06197680673835217,a b ɾ i g a n
abrigar,118,0.2611879712544841,a b ɾ i g a ɾ
abrigarme,44,0.09739212487455341,a b ɾ i g a ɾ m e
abrigarse,118,0.2611879712544841,a b ɾ i g a ɾ s e
abrigarte,130,0.2877494598566351,a b ɾ i g a ɾ t e
abrigas,23,0.050909519820789284,a b ɾ i g a s
abrígate,356,0.7879908285304775,a b ɾ i g a t e
abrigo,15912,35.22053388645214,a b ɾ i g o
abrigos,2030,4.493318488530532,a b ɾ i g o s
abrigue,36,0.07968446580645279,a b ɾ i g e
abríguense,124,0.2744687155555596,a b ɾ i g e n s e
abril,7295,16.14717161272425,a b ɾ i l
abrillantado,12,0.02656148860215093,a b ɾ i j a n t a d o
abrillantador,33,0.07304409365591506,a b ɾ i j a n t a d o ɾ
abrillantan,5,0.011067286917562888,a b ɾ i j a n t a n
abrillantar,99,0.21913228096774517,a b ɾ i j a n t a ɾ
abrillantas,8,0.01770765906810062,a b ɾ i j a n t a s
abrimos,3145,6.961323471147056,a b ɾ i m o s
abrió,8266,18.296438732114964,a b ɾ j o
abrir,30726,68.01069156580745,a b ɾ i ɾ
abrirá,2538,5.617754839354922,a b ɾ i ɾ a
abrirán,942,2.085076855268848,a b ɾ i ɾ a n
abrirás,448,0.9916289078136348,a b ɾ i ɾ a s
abriré,2817,6.235309449354931,a b ɾ i ɾ e
