word,bucket_q,uni_prob,bi_prob_smoothed
r1 u1 ɲ u,uni1-bi1,-21.702929756665895,-24.575953531818605
t͡ʃ1 u1 t͡ʃ u,uni1-bi1,-21.753574609634747,-22.64760151845291
t͡ʃ u t͡ʃ1 u1,uni1-bi1,-21.75357460963475,-20.962351330086552
ɲ1 i1 ɲ u,uni1-bi1,-21.671770568133283,-30.71394477864149
ɲ1 o1 ɲ i,uni1-bi1,-21.24952941168204,-28.434977781270376
ɲ i ɲ1 o1,uni1-bi1,-21.24952941168204,-26.04989146676459
ɲ u t͡ʃ1 e1,uni1-bi1,-21.32398199269935,-24.5255337599469
ɲ1 u1 ɲ o,uni1-bi1,-21.28923719187245,-22.392943822368753
t͡ʃ u ɲ1 e1,uni1-bi1,-21.20898340953763,-19.944439604965993
ɲ i r1 u1,uni1-bi1,-20.6086371291423,-30.546804711169848
ɲ i ɲ1 i1,uni1-bi1,-20.57747794060969,-28.602639292390396
ɲ u b1 u1,uni1-bi1,-20.350815072658047,-26.24672788752145
m1 u1 ɲ u,uni1-bi1,-20.50110980570106,-24.29528027974729
ɲ1 o1 ɲ e,uni1-bi1,-20.53502246230076,-22.32393353584419
t͡ʃ u g1 u1,uni1-bi1,-20.397079293135427,-20.38451009697063
ɲ1 i1 r u,uni1-bi1,-19.398487625826633,-30.548327249296243
ɲ1 u1 l u,uni1-bi1,-19.567775625180698,-28.17926103703895
ɲ u s1 u1,uni1-bi1,-19.52115647499039,-26.25509244169363
ɲ u g1 a1,uni1-bi1,-19.53783545135212,-24.332132498723308
f1 a1 t͡ʃ u,uni1-bi1,-19.4203536342168,-22.353901677075037
t͡ʃ u f1 a1,uni1-bi1,-19.4203536342168,-20.23580462573572
ɲ u i1 u1,uni1-bi1,-19.05520553619528,-30.137852210659076
ɲ1 o1 u i,uni1-bi1,-18.46895129940878,-28.720156723504036
ɲ1 i1 m u,uni1-bi1,-18.36314202913674,-26.330144684288623
ɲ o d1 u1,uni1-bi1,-18.51814659725369,-24.33625809177485
x1 o1 r u,uni1-bi1,-18.53696103572601,-22.271884955952437
t͡ʃ1 o1 r i,uni1-bi1,-18.455885612458395,-20.26324955938137
ɲ i u1 i1,uni1-bi1,-17.960912908671688,-31.04047472987185
ɲ o u1 i1,uni1-bi1,-17.43514782143728,-28.196999701698736
ɲ u i1 a1,uni1-bi1,-17.56060225433327,-26.305946416150373
t͡ʃ1 e1 i u,uni1-bi1,-17.449111252902494,-24.294155389703484
ɲ1 i1 b i,uni1-bi1,-17.50954937585121,-22.264152835291934
